"id","plcid","title","addr","modbusAddr","type","dictid","value_format","multiplicator","shift","save_to_log","measureUnits","has_normal","normal_regid","normal_regid2","normal_dynamic_value","normal_binary_value","normal_binary_text","normal_color","normal_min_regid","normal_min_delta","normal_max_regid","normal_max_delta","normal_min_val","normal_max_val","has_disabled","disabled_regid","disabled_regid2","disabled_dynamic_value","disabled_binary_value","disabled_binary_text","disabled_color","disabled_min_regid","disabled_min_delta","disabled_max_regid","disabled_max_delta","disabled_min_val","disabled_max_val","has_warning","warning_regid","warning_regid2","warning_dynamic_value","warning_binary_value","warning_binary_text","warning_color","warning_min_regid","warning_min_delta","warning_max_regid","warning_max_delta","warning_min_val","warning_max_val","has_alert","alert_regid","alert_regid2","alert_dynamic_value","alert_binary_value","alert_binary_text","alert_color","alert_min_regid","alert_min_delta","alert_max_regid","alert_max_delta","alert_min_val","alert_max_val","timeformat","log_tolerance","precision_digits","min_log_interval","max_log_interval","max_graph_interval","max_allowed_value","min_allowed_value","rw_mode","min_reasonable_value","max_reasonable_value","save_graph_data","graph_interval","graph_color","disabled","nocloud","delta","delay","bitmask","words_order","time_duration","priority","cloud_log","cloud_rt","description","variable","category","alerts_enbl","alerts","cloud_sync"
78,4,"dummy","DI64",,0,0,0,,,0,,0,0,0,0,1,,"#34d357",,,,,,,0,0,0,0,0,,"#cccccc",,,,,,,0,0,0,0,0,,"#f0b518",,,,,,,0,0,0,0,0,,"#ee434d",,,,,,,"Y-m-d H:i:s",,,,,,,,,,,0,1,"#0066b3",0,0,0,0,-1,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
79,4,"C3B_s","DI65",,0,0,0,,,0,,0,0,0,0,1,,"#34d357",,,,,,,0,0,0,0,0,,"#cccccc",,,,,,,0,0,0,0,0,,"#f0b518",,,,,,,0,0,0,0,0,,"#ee434d",,,,,,,"Y-m-d H:i:s",,,,,,,,,,,0,1,"#0066b3",0,0,0,0,-1,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
80,4,"C4B_s","DI66",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
81,4,"C5B_s","DI67",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
87,4,"C13C_s","DI68",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
83,4,"C5C_s","DI69",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
82,4,"C6B_s","DI70",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
84,4,"C6C_s","DI71",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
85,4,"C13B_s","DI72",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
86,4,"C14B_s","DI73",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
88,4,"C14C_s","DI74",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
89,4,"C11B_s","DI75",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
90,4,"C12B_s","DI76",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
91,4,"C34_s","DI77",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
92,4,"C3A_s","DI78",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
93,4,"C4A_s","DI79",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
94,4,"C5A_s","DI80",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
95,4,"C6A_s","DI81",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
96,4,"C5D_s","DI82",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
97,4,"C6D_s","DI83",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
98,4,"C13A_s","DI84",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
99,4,"C14A_s","DI85",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
100,4,"C13D_s","DI86",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
101,4,"C14D_s","DI87",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
102,4,"C11A_s","DI88",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
103,4,"C12A_s","DI89",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
104,4,"C17_s","DI90",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
105,4,"C17A_s","DI91",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
106,4,"C17B_s","DI92",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
107,4,"C18A_s","DI93",,0,0,0,,,0,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,0,0,0,0,0,,,"A3 TM3DI32K",0,"{}",0
