id,plcid,title,addr,modbusAddr,type,dictid,value_format,multiplicator,shift,save_to_log,measureUnits,has_normal,normal_regid,normal_regid2,normal_dynamic_value,normal_binary_value,normal_binary_text,normal_color,normal_min_regid,normal_min_delta,normal_max_regid,normal_max_delta,normal_min_val,normal_max_val,has_disabled,disabled_regid,disabled_regid2,disabled_dynamic_value,disabled_binary_value,disabled_binary_text,disabled_color,disabled_min_regid,disabled_min_delta,disabled_max_regid,disabled_max_delta,disabled_min_val,disabled_max_val,has_warning,warning_regid,warning_regid2,warning_dynamic_value,warning_binary_value,warning_binary_text,warning_color,warning_min_regid,warning_min_delta,warning_max_regid,warning_max_delta,warning_min_val,warning_max_val,has_alert,alert_regid,alert_regid2,alert_dynamic_value,alert_binary_value,alert_binary_text,alert_color,alert_min_regid,alert_min_delta,alert_max_regid,alert_max_delta,alert_min_val,alert_max_val,timeformat,log_tolerance,precision_digits,min_log_interval,max_log_interval,max_graph_interval,max_allowed_value,min_allowed_value,rw_mode,min_reasonable_value,max_reasonable_value,save_graph_data,graph_interval,graph_color,disabled,nocloud,delta,delay,bitmask,words_order,time_duration,priority,cloud_log,cloud_rt,description,variable,category,alerts_enbl,alerts,cloud_sync
"177","4","KL1","Q0","","0","0","0","","","0","","0","0","0","0","1","","#34d357","","","","","","","0","0","0","0","0","","#cccccc","","","","","","","0","0","0","0","0","","#f0b518","","","","","","","0","0","0","0","0","","#ee434d","","","","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","out_KL1","A6 TM3DQ32TK","0","{}","0"
"178","4","KL2","Q1","","0","0","0","","","0","","0","0","0","0","1","","#34d357","","","","","","","0","0","0","0","0","","#cccccc","","","","","","","0","0","0","0","0","","#f0b518","","","","","","","0","0","0","0","0","","#ee434d","","","","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","out_KL2","A6 TM3DQ32TK","0","{}","0"
"216","4","KL11","Q10","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","out_KL11","A6 TM3DQ32TK","0","","0"
"217","4","KL12","Q11","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","out_KL12","A6 TM3DQ32TK","0","","0"
"218","4","KL13","Q12","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","out_KL13","A6 TM3DQ32TK","0","","0"
"219","4","KL14","Q13","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","out_KL14","A6 TM3DQ32TK","0","","0"
"220","4","KL15","Q14","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","out_KL15","A6 TM3DQ32TK","0","","0"
"221","4","KL16","Q15","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","out_KL16","A6 TM3DQ32TK","0","","0"
"222","4","KL17","Q16","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","out_KL17","A6 TM3DQ32TK","0","","0"
"223","4","KL18","Q17","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","out_KL18","A6 TM3DQ32TK","0","","0"
