id,plcid,title,addr,modbusAddr,type,dictid,value_format,multiplicator,shift,save_to_log,measureUnits,has_normal,normal_regid,normal_regid2,normal_dynamic_value,normal_binary_value,normal_binary_text,normal_color,normal_min_regid,normal_min_delta,normal_max_regid,normal_max_delta,normal_min_val,normal_max_val,has_disabled,disabled_regid,disabled_regid2,disabled_dynamic_value,disabled_binary_value,disabled_binary_text,disabled_color,disabled_min_regid,disabled_min_delta,disabled_max_regid,disabled_max_delta,disabled_min_val,disabled_max_val,has_warning,warning_regid,warning_regid2,warning_dynamic_value,warning_binary_value,warning_binary_text,warning_color,warning_min_regid,warning_min_delta,warning_max_regid,warning_max_delta,warning_min_val,warning_max_val,has_alert,alert_regid,alert_regid2,alert_dynamic_value,alert_binary_value,alert_binary_text,alert_color,alert_min_regid,alert_min_delta,alert_max_regid,alert_max_delta,alert_min_val,alert_max_val,timeformat,log_tolerance,precision_digits,min_log_interval,max_log_interval,max_graph_interval,max_allowed_value,min_allowed_value,rw_mode,min_reasonable_value,max_reasonable_value,save_graph_data,graph_interval,graph_color,disabled,nocloud,delta,delay,bitmask,words_order,time_duration,priority,cloud_log,cloud_rt,description,variable,category,alerts_enbl,alerts,cloud_sync
"66","1","test_I0_word","I0","","2","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","test","","test_Inputs","0","{}","0"
"65","1","test_I0.0","I0.0","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","test","","test_Inputs","0","{}","0"
"64","1","test_I0.1","I0.1","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","test1","","test_Inputs","0","{}","0"
"67","1","test_I0.2","I0.2","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","test1","","test_Inputs","0","{}","0"
"70","1","test_I0.3","I0.3","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","test1","","test_Inputs","0","{}","0"
"71","1","test_I0.4","I0.4","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","test1","","test_Inputs","0","{}","0"
"72","1","test_I0.5","I0.5","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","test1","","test_Inputs","0","{}","0"
"55","1","Q0_word","Q0","","2","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","fsdsvcvx","","test_outputs","0","{}","0"
"57","1","Progr_Q0.0_bit","Q0.0","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afadfgd","","test_outputs","0","{}","0"
"2","1","Q0.1_bit","Q0.1","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afaqwer","","test_outputs","0","{}","0"
"58","1","Q0.2_bit","Q0.2","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afaqwer","","test_outputs","0","{}","0"
"59","1","Q0.3_bit","Q0.3","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afaqwer","","test_outputs","0","{}","0"
"60","1","Q0.4_bit","Q0.4","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afaqwer","","test_outputs","0","{}","0"
"61","1","Q0.5_bit","Q0.5","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afaqwer","","test_outputs","0","{}","0"
"62","1","Q0.6_bit","Q0.6","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afaqwer","","test_outputs","0","{}","0"
"63","1","Q0.7_bit","Q0.7","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afaqwer","","test_outputs","0","{}","0"
"68","1","Q0.8_bit","Q0.8","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afaqwer","","test_outputs","0","{}","0"
"69","1","Q0.9_bit","Q0.9","","0","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","afaqwer","","test_outputs","0","{}","0"
"56","1","Q1","Q1","","2","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","fsdsvcvx","","test_reg","0","{}","0"
"8","1","T0","T0","","4","0","0","","","0","","0","0","0","0","1","","#34d357","-1","","-1","","","","0","0","0","0","0","","#cccccc","-1","","-1","","","","0","0","0","0","0","","#f0b518","-1","","-1","","","","0","0","0","0","0","","#ee434d","-1","","-1","","","","Y-m-d H:i:s","","","","","","","","","","","0","1","#0066b3","0","0","0","0","-1","0","0","0","0","0","","","test_reg","0","{}","0"
